,percents,count_won
0,"[0.44990639122014203, 0.4733425014711285, 0.6542816653176684, 0.5548890844188825, 0.5820816756044456, 0.42539001435171303, 0.4827593882866238, 0.5365780694167149]",4
1,"[0.44990639122014203, 0.47493095557484416, 0.6383869214849757, 0.4994379268651351, 0.640050870872312, 0.425774235675474, 0.4808791970898432, 0.5616962707272439]",3
2,"[0.4966173581567204, 0.4624620382795395, 0.6616476921597978, 0.4994379268651351, 0.7105765819359879, 0.4642032697220705, 0.3785793387122291, 0.5107777733656302]",3
3,"[0.46628883117873865, 0.37300467614030697, 0.6637775838837224, 0.4941884202199597, 0.7244727939205586, 0.4606830919571431, 0.4821265108944763, 0.5228624517358975]",3
4,"[0.46628883117873865, 0.37275824553366926, 0.5023755788594056, 0.49727876347012084, 0.7244727939205586, 0.689937604110788, 0.44887061834120884, 0.48578176353036384]",3
5,"[0.45818288405232255, 0.3621206748201478, 0.5129661259129787, 0.711068399281327, 0.5216827260077629, 0.43161651454416977, 0.45781014484835436, 0.7146371628350234]",4
6,"[0.45319246456138484, 0.36302950952863255, 0.5090093277581216, 0.711068399281327, 0.5235284368796127, 0.4413610706689727, 0.45750216963527873, 0.7120298307780342]",4
7,"[0.47705462538855586, 0.3660663040804613, 0.7090586107747376, 0.7044791713515701, 0.5235284368796127, 0.4603118253777884, 0.49353468553839536, 0.4347469674149591]",3
8,"[0.4979597384064279, 0.3660663040804613, 0.7489097343716469, 0.4931118096696624, 0.4616101059163096, 0.4206336664954766, 0.7146073441602748, 0.4740375977151745]",2
9,"[0.6940024345875563, 0.4622532235276148, 0.7489097343716469, 0.4935326035096032, 0.38351827730053256, 0.5112767246384128, 0.4659251588234123, 0.42404565656296433]",3
10,"[0.6858005785986375, 0.4939876297026627, 0.5035071774425947, 0.4293050831101783, 0.6352427914637591, 0.4355801027452956, 0.5024113307992261, 0.4740171176057174]",4
11,"[0.42883629556426694, 0.4775140942486602, 0.6299852264544505, 0.442711825765094, 0.5076457374097854, 0.4784048801230262, 0.46017547670293363, 0.7179855445945429]",3
12,"[0.48789409741815987, 0.46141848812398134, 0.4930112747400298, 0.4485994397759104, 0.6186151590928688, 0.4914548307851226, 0.45941071553124285, 0.6838779247530716]",2
13,"[0.4251412937830735, 0.46141848812398134, 0.580529457514431, 0.45285736680361205, 0.5439779082420224, 0.5086358545316045, 0.6902214273595323, 0.4831376076150762]",4
14,"[0.6141387572269389, 0.43956702054410657, 0.5497092986987062, 0.4640043864822389, 0.5817239627434377, 0.4940168774726667, 0.48173697203705074, 0.5231986785093223]",4
15,"[0.4916076726108226, 0.5264754230459306, 0.584640781605323, 0.46618125711298203, 0.5486650201810293, 0.4473136926168141, 0.41585385206977793, 0.6735445404025023]",4
16,"[0.4594665598718462, 0.5454889132587865, 0.5248005656931801, 0.46618125711298203, 0.47782300706422887, 0.6614811833366875, 0.5510411093620983, 0.4669995818061056]",4
17,"[0.4237152471495312, 0.3424360384756424, 0.6112802716519273, 0.5419955199842027, 0.514425659052097, 0.6241258631807625, 0.4667494648080663, 0.6576167428800413]",5
18,"[0.4319486670823789, 0.46716275878141306, 0.6711086930649303, 0.5549261530530087, 0.48479290893422516, 0.35571668291798, 0.548511116132257, 0.666900259600244]",4
19,"[0.4547400798960513, 0.4749359784758015, 0.5447110405302769, 0.44862543287740136, 0.6799469798450396, 0.43304037503289633, 0.5772365465698186, 0.5441536582742235]",4
20,"[0.6901726167124362, 0.44494561567134483, 0.5447110405302769, 0.6678423419451548, 0.4795461488681644, 0.34017625271403634, 0.45650650186110375, 0.5588862692264511]",4
21,"[0.7306428568857987, 0.46110858257477244, 0.5682921178421617, 0.482845266062632, 0.6616571153439651, 0.43668665033107024, 0.5006624543036743, 0.35697658496508283]",4
22,"[0.732196749278039, 0.4563496816338158, 0.6748671350244696, 0.48283204854794204, 0.5096950008669395, 0.43668665033107024, 0.35763334970937133, 0.545866842281128]",4
23,"[0.5111157100958134, 0.4401369475120344, 0.36601371369574, 0.4830942573839797, 0.6311367030476179, 0.4526485116339529, 0.6075037913631505, 0.7027178768286612]",4
24,"[0.38578579418344516, 0.4639566045655613, 0.7104109726616021, 0.5403307469437691, 0.4857191738813245, 0.43842579814150334, 0.4805133140840552, 0.6786920340954425]",3
25,"[0.7391488796582534, 0.44929066722122213, 0.6929683685095762, 0.5282054659203161, 0.4857191738813245, 0.36988867124818786, 0.4759636290474367, 0.44712652195906216]",3
26,"[0.4416784903286268, 0.47519924446114853, 0.7064407539795888, 0.39676006343931725, 0.4857191738813245, 0.6852683358816651, 0.45468876677776776, 0.5078713279528464]",3
27,"[0.7441292135851468, 0.5435921001302539, 0.37018346527753976, 0.44437057164697796, 0.4857191738813245, 0.6569182251719666, 0.4909458696606661, 0.45531303216114893]",3
28,"[0.7441292135851468, 0.43902650769765017, 0.35742241269210573, 0.5515150944343983, 0.48285398761223414, 0.6775689681062351, 0.4741052795565263, 0.4673451886622134]",3
29,"[0.5730020517950655, 0.46941050073800367, 0.4387656214980855, 0.6996638614491607, 0.4343162451810912, 0.5225745574224387, 0.5347248915279568, 0.4673451886622134]",4
30,"[0.4907474172741098, 0.48035124909437305, 0.4685778248022606, 0.5467697610508174, 0.5075165229080318, 0.7065756536566365, 0.5055568185508753, 0.4280582097058084]",4
31,"[0.5019276531819572, 0.4960300746207668, 0.4593888768419961, 0.5467697610508174, 0.4424272206595045, 0.6907142213816085, 0.47811830556560664, 0.519933614163178]",4
32,"[0.6182057036509935, 0.4036255500388263, 0.4767191545488593, 0.5451031952300871, 0.5355371630997274, 0.6814256019162204, 0.4362827767593847, 0.46649226496140556]",4
33,"[0.6632776112936419, 0.3842959663745134, 0.47515032279499425, 0.5270834909156922, 0.5322999111116943, 0.6814256019162204, 0.46608770889747, 0.43800654676051]",4
34,"[0.5096528430470636, 0.4717852105382559, 0.5061072041454961, 0.6391244350225991, 0.5504615979506018, 0.5526096668438502, 0.44103647165687176, 0.4630833523093551]",5
35,"[0.5447542053364269, 0.4744110107920129, 0.5036259632523874, 0.6461138816448329, 0.5562599900603098, 0.4607034716535583, 0.44346466766094794, 0.5036080400990985]",5
36,"[0.4624429585144111, 0.44260174038737654, 0.5126519055589, 0.5773010281673664, 0.43125834205397817, 0.5272371623078582, 0.47574950690335305, 0.711105559025609]",4
37,"[0.4624429585144111, 0.44297988135741645, 0.5309630052404919, 0.5826596739182102, 0.6766444110788103, 0.5423555285909297, 0.47519374775187206, 0.42690602864206056]",4
38,"[0.4599254011597192, 0.4414569662992929, 0.5201806807750062, 0.47967387683004253, 0.5222393248586821, 0.47726672599778974, 0.7016197116164129, 0.5420242369239393]",4
39,"[0.4318296298657825, 0.4693798959593593, 0.7386666092733286, 0.47967387683004253, 0.5341211567888693, 0.4764981633384917, 0.6983422330655742, 0.3637131307252752]",3
40,"[0.43149141837507543, 0.4716630705823073, 0.7278100662354482, 0.48568202910475605, 0.37756151314529507, 0.6083708930874877, 0.4784927355263329, 0.6044065810023932]",3
41,"[0.47553694482978376, 0.4730541993518005, 0.3570548272518186, 0.4829429196933076, 0.6132133004210832, 0.610970002794866, 0.4317524841915086, 0.7639215341695407]",3
42,"[0.47043063644472427, 0.4730541993518005, 0.4339743423104918, 0.754629828864885, 0.6497159781112255, 0.5529204510995913, 0.36751015325893427, 0.4862165772299248]",3
