,percents,count_won,starting_player
0,"[0.44116116538109384, 0.6456042814810712, 0.4662178808307231, 0.713395280433184, 0.4571425836648874, 0.44398087873647113, 0.4711897053399451, 0.5017211760819293]",3,Republican
1,"[0.4585253309369483, 0.5392595782700781, 0.4532409084841435, 0.5119076936211012, 0.48397204979691744, 0.5721080839660563, 0.48581434908775556, 0.6429708309859925]",4,Republican
2,"[0.4453081241614672, 0.519267168662305, 0.46388060545246407, 0.5202609660556959, 0.45981850830500864, 0.6778138348233967, 0.3958207064169608, 0.6855293375055398]",4,Republican
3,"[0.5598195919583401, 0.46554673379808936, 0.5594545501557874, 0.4521658272995354, 0.5400568563737176, 0.4497767540192165, 0.69299294163327, 0.4237124619637762]",4,Democrat
4,"[0.4486796609845711, 0.5254911755473726, 0.46320475059081834, 0.6929878443481591, 0.402213123824278, 0.6596987676859881, 0.4606495391470754, 0.49505406632750437]",3,Republican
5,"[0.4427009126265932, 0.5303886268742499, 0.46222492779152147, 0.5187454330841437, 0.4738370684335839, 0.6088342885174821, 0.4823341157758366, 0.6270030992666831]",4,Republican
6,"[0.4364829781398108, 0.5825662600534715, 0.46098065073627803, 0.6415143710139628, 0.3583151708234374, 0.5140944408092671, 0.6757904123655624, 0.4943246218319957]",4,Republican
7,"[0.44632552451561125, 0.5399131777381037, 0.47630150401784843, 0.5293127629733521, 0.478569051367715, 0.664561570395946, 0.3725836618582564, 0.6740204235632165]",4,Republican
0,"[0.4546574346568632, 0.6064426629582669, 0.43253043419559534, 0.5267091041024001, 0.471431491797414, 0.6803332248830514, 0.47740357101980085, 0.5026705780023746]",4,Republican
1,"[0.6413941686216307, 0.45870547983995896, 0.5508103325492566, 0.4364776382606992, 0.5244150625445589, 0.4218989757856261, 0.713002288167643, 0.40269603244475877]",4,Democrat
2,"[0.5169803053587595, 0.4629600157874299, 0.5729960277508284, 0.47106151641488403, 0.5551074253186238, 0.43977698137326515, 0.705180542383132, 0.4273735381007743]",4,Democrat
3,"[0.4523372409632661, 0.5321580358915514, 0.4514754939697203, 0.6874928238067257, 0.410430104453485, 0.6951804709687495, 0.4117525141477129, 0.5071065070241605]",4,Republican
4,"[0.5147553714729485, 0.4512683830478999, 0.5927624337561145, 0.44508384501444276, 0.5884844905824579, 0.4798895899053628, 0.652247231758619, 0.43401592890930796]",4,Democrat
5,"[0.45622840918053476, 0.6516777946528355, 0.44852011940145703, 0.5214074817256701, 0.5712250319108566, 0.5232546084143737, 0.4934481665433795, 0.493437781846591]",4,Republican
6,"[0.4526546957757396, 0.5622723939202225, 0.4338040371907773, 0.5118234763350012, 0.4840205921196035, 0.6542085281726006, 0.5437346600331675, 0.511469486671073]",5,Republican
7,"[0.45403704335627215, 0.686851928660307, 0.4483186661079152, 0.7570044222835604, 0.45664691512200145, 0.3955793449795468, 0.5018768894477105, 0.49536661570165524]",3,Republican
8,"[0.44726232904566576, 0.5587372673620347, 0.47842669766336005, 0.6099852207062346, 0.4530936280496887, 0.7146039577354272, 0.37445481500499395, 0.5052890367626571]",4,Republican
9,"[0.5156430155958168, 0.4651032345083392, 0.7021916112803286, 0.45387883883156044, 0.6815604902055944, 0.351021234030305, 0.4975503081168013, 0.5035034508168139]",4,Democrat
10,"[0.5866160832104323, 0.47038708707459925, 0.511857578468309, 0.4522125204425356, 0.6194206249245156, 0.3669749291708986, 0.6669919869871872, 0.4837388277802539]",4,Democrat
11,"[0.44295334295334293, 0.7120097169528072, 0.45132237718528434, 0.7247724890496255, 0.45063547614662003, 0.4060560087471073, 0.4654319052204878, 0.5084590092289413]",3,Republican
12,"[0.4530778904731573, 0.5784210267988613, 0.45356575033336755, 0.6703655638023301, 0.45548140415148236, 0.7134340046395484, 0.4364623589891766, 0.42840524940582514]",3,Republican
13,"[0.4517347924658255, 0.5607412211850891, 0.43000013120260305, 0.6614199311223179, 0.439970993069017, 0.711385479148949, 0.4526698304914398, 0.48270974600157845]",3,Republican
14,"[0.5294164322058275, 0.4633822094447246, 0.6860025778756313, 0.4549609167687701, 0.7104000572021022, 0.43831925852028863, 0.4163018241616758, 0.47543562940526357]",3,Democrat
15,"[0.5556045548866577, 0.46900193627882414, 0.5944252906045705, 0.43845386005398584, 0.6935648704109819, 0.38930663989330616, 0.4967046115606325, 0.5089726797029275]",4,Democrat
16,"[0.5573485071049743, 0.46715736217835796, 0.6411189966103261, 0.4496640906781613, 0.7515535359484677, 0.4607893305526859, 0.38631762007577986, 0.49282441841672137]",3,Democrat
17,"[0.7021313407658121, 0.45048316232826485, 0.5411818469434386, 0.4540158807554822, 0.6674886628577285, 0.41159659784166697, 0.41992580197429014, 0.49648842468798526]",3,Democrat
18,"[0.4517909578817099, 0.698278500699023, 0.4457121635368394, 0.7239658739299498, 0.46233214740243045, 0.41889207428092873, 0.47859887005649715, 0.49520687592731505]",2,Republican
19,"[0.4547283508837126, 0.7011113914302027, 0.4383702825177664, 0.7391679513609335, 0.4422753559158858, 0.5382961873515103, 0.3618568983224923, 0.5067332486048148]",4,Republican
20,"[0.5694046652132404, 0.45346664174920576, 0.6227466148351452, 0.4504120839022935, 0.7126444039356936, 0.45498962282783606, 0.39284108584497585, 0.5033428875820055]",4,Democrat
21,"[0.4409012799615885, 0.5525525265053935, 0.46206667475774665, 0.5136625942116114, 0.4742796495348207, 0.6117160175062719, 0.4009173001539414, 0.6896711713765424]",4,Republican
22,"[0.451296047168779, 0.5225471248505191, 0.4470647314196851, 0.656434211189244, 0.46510300298231283, 0.6994957487326664, 0.41104820939669884, 0.49508983445353977]",3,Republican
23,"[0.5789392096950322, 0.45307298558947945, 0.5774945235306186, 0.45704464093709285, 0.7017041182409933, 0.44144469717905654, 0.44181570192099323, 0.49374050964452193]",3,Democrat
24,"[0.5985795656417947, 0.4605313651248465, 0.6277268740552746, 0.43395290306258233, 0.5390509521235775, 0.4872761875664356, 0.65729966367159, 0.369756183177078]",4,Democrat
25,"[0.5402420684220126, 0.4563055475061538, 0.6880572021835962, 0.4446318175226056, 0.5704499446052471, 0.48034972051024794, 0.6227652748110956, 0.3694119588795624]",4,Democrat
26,"[0.4549066323450978, 0.5305552015128656, 0.4470144198199942, 0.5412275657420262, 0.4249506538366642, 0.5951979958316667, 0.48236538679050706, 0.6782036870503597]",4,Republican
27,"[0.44751225735441263, 0.5196896642412554, 0.45014701004434454, 0.6610775681945905, 0.4417550315837396, 0.7187318848555558, 0.4640227177190346, 0.4800837463228474]",3,Republican
28,"[0.6971969079157463, 0.45084723984516795, 0.5357871665029098, 0.443835031676169, 0.6922256375707048, 0.4225016059465908, 0.4088081827826286, 0.5067827801511666]",4,Democrat
29,"[0.44798808324995254, 0.5668665449844544, 0.4458378085479017, 0.5545297524299794, 0.45617896668201063, 0.6995793186949484, 0.4586760384044038, 0.4997710071276152]",3,Republican
30,"[0.44494429059058416, 0.5227759468942745, 0.44666052850236276, 0.5607952299380683, 0.47488494495156247, 0.5784748774338794, 0.48003938678404967, 0.6438897689486378]",4,Republican
31,"[0.45454134673418733, 0.5126762331779299, 0.44142072685643324, 0.520884040333797, 0.4509037514993589, 0.6635997523413227, 0.4444543012115375, 0.6785100286532951]",4,Republican
32,"[0.45497956221110136, 0.5445812031708444, 0.4509389287785435, 0.5160256410256411, 0.46148197700648735, 0.6213801426595242, 0.40157584488511916, 0.7448485580353712]",4,Republican
33,"[0.4397276643221878, 0.5201605031992191, 0.46372743815788625, 0.6705243196431206, 0.46969818784068434, 0.6592684628279302, 0.45508352243789685, 0.48222828555420366]",3,Republican
34,"[0.5326085553073635, 0.4566181514846032, 0.5338332388270797, 0.4469160671768572, 0.5234882944797409, 0.4813027025416406, 0.6718651950331009, 0.49369667642939]",4,Democrat
35,"[0.4608512673362028, 0.64972802994595, 0.4534487784408504, 0.7114722467558937, 0.4828244707192263, 0.4353220262397728, 0.47234828982884897, 0.4793217192395034]",2,Republican
36,"[0.44928024541609707, 0.6805093760616643, 0.448807640832218, 0.5500886809965355, 0.46750274127188624, 0.6061977607689201, 0.46227067354847007, 0.48756222205272254]",3,Republican
37,"[0.46002427752242825, 0.5413014870377681, 0.4400544825305564, 0.5510172994568171, 0.3932625378721448, 0.5717707699736005, 0.6875608447202289, 0.5005590756615729]",5,Republican
38,"[0.5320821650936566, 0.4506841930937737, 0.5906121542050883, 0.4506389264317603, 0.5738305060137256, 0.44957342169184655, 0.6262593770104747, 0.4898699229838661]",4,Democrat
39,"[0.45047095579343543, 0.6703248178055885, 0.44766625581182257, 0.6976372460693423, 0.4436073944799948, 0.4637190746421941, 0.4606969622891551, 0.5079453254430135]",3,Republican
40,"[0.5846762627829518, 0.4443184849293145, 0.5494779183776083, 0.47680540061946025, 0.5815975500377644, 0.5099969686611157, 0.505772948915938, 0.5070924028118913]",6,Democrat
41,"[0.4536864366364411, 0.5340399694157509, 0.4481112759544316, 0.5263052932245696, 0.4525169830476689, 0.5684372201896087, 0.43958340460071094, 0.7116550486424968]",4,Republican
42,"[0.44360415417394966, 0.7031822032073277, 0.45736285665332943, 0.7062416025406132, 0.46925496464643207, 0.40926351345720613, 0.48132079552460916, 0.49808851955261113]",2,Republican
43,"[0.4536083468023097, 0.5373921569220806, 0.4460687194371095, 0.6682980563574525, 0.4568208626900883, 0.6986055247444053, 0.4162411393973224, 0.5057514470095137]",4,Republican
44,"[0.5112114255781348, 0.4552195354193675, 0.6767394609340589, 0.459699604136913, 0.6960920516548855, 0.4461178125297988, 0.44046665623379455, 0.491205129566695]",3,Democrat
45,"[0.45900795257964355, 0.5522334863337848, 0.4441467237044215, 0.5528862285093076, 0.43595399452626094, 0.5759520753102267, 0.482444544804238, 0.652424860984022]",4,Republican
46,"[0.5121746096645625, 0.4595678134773955, 0.5351324297934795, 0.448818234798938, 0.6059987123415403, 0.422693092874206, 0.692553261876406, 0.4862519561558626]",4,Democrat
47,"[0.5246004024889547, 0.4479779985067715, 0.7069754174699893, 0.45649061689056647, 0.5475622551990668, 0.4806228373702422, 0.6656947052354395, 0.3505452638131578]",4,Democrat
48,"[0.44643108906576434, 0.5204707268769334, 0.4510574483326527, 0.5893167997400427, 0.47529405787160534, 0.6198662142282259, 0.36064324475106185, 0.728444959043804]",4,Republican
49,"[0.5325027723395808, 0.4469099504741476, 0.52059956682208, 0.4405652695844155, 0.6051441887561899, 0.43737205281598557, 0.7349083029043941, 0.47631828435058354]",4,Democrat
50,"[0.6974419662684013, 0.45357583564771264, 0.5107792078922687, 0.44971831917413707, 0.5617754675136598, 0.4296230289411491, 0.6736432647787229, 0.3787989044039339]",4,Democrat
51,"[0.6046204658343209, 0.46652368549835943, 0.6092776983248933, 0.4574566856027822, 0.7377032886938725, 0.4327078982527596, 0.4051921527096892, 0.4783225542575219]",3,Democrat
52,"[0.4527917837990313, 0.5836303375295394, 0.4647669680849348, 0.5850677913626618, 0.3673403609343659, 0.5309186898315034, 0.7012541108498859, 0.5014349203818482]",5,Republican
53,"[0.44500711128685594, 0.5637504149306795, 0.45533417498030354, 0.5513581096088673, 0.37299330073923864, 0.6337038038451139, 0.6619073977598333, 0.49260893017283885]",4,Republican
54,"[0.45726024233949336, 0.708559670781893, 0.4583622341520579, 0.5315633921813117, 0.4511507363191646, 0.5293422970899623, 0.5065706997937358, 0.49432014111780154]",4,Republican
55,"[0.4557881421634635, 0.5123252304717894, 0.46160712293307743, 0.6641342562228897, 0.4468985950492211, 0.7342002186520319, 0.42471140623037884, 0.4792922484190567]",3,Republican
56,"[0.5607426978477484, 0.4519720671300441, 0.6020209406262016, 0.46052948371004554, 0.6979184830868367, 0.47500379835303413, 0.39504908770232094, 0.4990535499183423]",3,Democrat
57,"[0.7099181970677297, 0.4510235555356469, 0.5526584898761087, 0.44077256394337017, 0.5892516103417826, 0.4275166598584293, 0.47471759704275235, 0.49605205636076266]",3,Democrat
58,"[0.5108942197458118, 0.4611132548716959, 0.6057219659418247, 0.4661360723817966, 0.6593938619000154, 0.428702091251874, 0.5368241124460458, 0.4957479744417364]",4,Democrat
59,"[0.43542782867831215, 0.5726778561301626, 0.478832505721595, 0.5105203591616227, 0.42865374338336054, 0.6184012195295693, 0.6308356526082923, 0.4981796594159167]",4,Republican
60,"[0.45486947614960227, 0.5341998214108542, 0.4485607976418665, 0.6530869494459322, 0.41240069327480644, 0.6898125577004866, 0.4885416393614512, 0.4908758705072314]",3,Republican
61,"[0.4776731836833213, 0.5431441365121626, 0.4536164716608418, 0.5709209442504039, 0.4566209908508197, 0.6992174722592658, 0.46368312031449405, 0.4824051351701374]",3,Republican
62,"[0.6524274142738294, 0.4555861335306769, 0.7041885744346229, 0.4500416253842039, 0.4451067114646014, 0.46263845316601576, 0.48409878428378456, 0.49535525062258695]",2,Democrat
63,"[0.4550131768464882, 0.5551836729558166, 0.4556985377410397, 0.5698893379716207, 0.4568954178638132, 0.5242765608012768, 0.4720073375086614, 0.6666036116412752]",4,Republican
64,"[0.4474456878066394, 0.5237729512911802, 0.4591948712024951, 0.6156631581555846, 0.47062375617246877, 0.6619576785471672, 0.4795137611610875, 0.4868150873488318]",3,Republican
65,"[0.5637104173382598, 0.45896722425340536, 0.521502323985401, 0.4555982048334405, 0.6057180144215084, 0.4580795459629433, 0.6750148892324985, 0.423658680451607]",4,Democrat
66,"[0.5108625753286616, 0.44834244631173786, 0.6859291642364475, 0.46056734304175295, 0.5566520945922687, 0.46312422761937083, 0.606288693182526, 0.4058386711334096]",4,Democrat
67,"[0.44798195195214224, 0.5283156223123432, 0.4457757920389927, 0.6895698786764182, 0.45269086317108426, 0.6988120157524582, 0.4650502205006959, 0.4344776541278014]",3,Republican
68,"[0.5252957283857222, 0.45078651391675434, 0.6706576848270286, 0.4801520529407775, 0.5246458393917992, 0.4123429432080171, 0.7186656179889309, 0.40448847004871186]",4,Democrat
69,"[0.5726903562879619, 0.45898970202136063, 0.5303396905950725, 0.4580917099734269, 0.7059009357400408, 0.4591906113755224, 0.4629968890977744, 0.48565089862566957]",3,Democrat
70,"[0.5361621463983669, 0.44494080784509094, 0.5546619839567077, 0.45231349115737274, 0.5403011454633488, 0.4299822630385207, 0.695273179102476, 0.4888737788098247]",4,Democrat
71,"[0.5943714628500794, 0.456174004225781, 0.5387151075135033, 0.4607092824158149, 0.6122049545387693, 0.41293778205223053, 0.6101878452384827, 0.4926184565139466]",4,Democrat
72,"[0.5221967778163753, 0.44902168248503704, 0.6965807464069341, 0.4520790222452147, 0.6604788980539761, 0.43146182735774125, 0.4294216578851011, 0.49631712956948737]",3,Democrat
73,"[0.4568409230788754, 0.6986617098386093, 0.4523238236145508, 0.5156919226988045, 0.47217923135575346, 0.635586649929853, 0.3900741563867951, 0.5060947607363573]",4,Republican
74,"[0.556282165511922, 0.4504270617188631, 0.5863754714301495, 0.475970365598325, 0.7116508937381978, 0.4446866950616737, 0.40639632334795833, 0.50615058700622]",4,Democrat
75,"[0.6994350003158725, 0.43616244383656594, 0.6071804828365454, 0.4444868985291239, 0.6060721392764324, 0.48237481737282506, 0.4161723356547118, 0.467221826194025]",3,Democrat
76,"[0.448286352616818, 0.5126243675712314, 0.4752234060696943, 0.5355648404121639, 0.48922880029104326, 0.6220313395490572, 0.44617140823071283, 0.6390817689332401]",4,Republican
77,"[0.4485094807481948, 0.5160533527490418, 0.4647185126662929, 0.686155949713244, 0.4787558910429707, 0.6883478465332645, 0.488255066797863, 0.41080413381110337]",3,Republican
