,percents,count_won,starting_player
0,"[0.4504693813321974, 0.43845156902624777, 0.4418462572851782, 0.47577083903239675, 0.711119695884406, 0.6145915966846295, 0.5101234134129737, 0.49596885469182583]",3,Republican
1,"[0.553864452395074, 0.5484389002401692, 0.585923082802826, 0.6422498592493722, 0.4446821990070335, 0.45587139700971074, 0.45705148416737984, 0.47421748827193727]",4,Democrat
2,"[0.5579686950348766, 0.6644424899503295, 0.5418777287309743, 0.5426595416571681, 0.44937484758408414, 0.45418165623845186, 0.4620503696572092, 0.4742841451888937]",4,Democrat
3,"[0.5653492663210614, 0.5751133252255123, 0.5833445614894659, 0.6350460377704648, 0.432315437820543, 0.4341025616360611, 0.46760127123429107, 0.47188526904908606]",4,Democrat
4,"[0.5237254169355661, 0.5556821547519025, 0.5317006775817976, 0.7003034661524601, 0.41041820521689276, 0.44269579090766775, 0.45846655727710794, 0.5044364298700913]",5,Democrat
5,"[0.6986050242815148, 0.5502697531917171, 0.570068357068864, 0.5337798047030143, 0.3833105145386884, 0.4373817308859074, 0.4661444968769949, 0.5043646339942637]",5,Democrat
6,"[0.526768860719603, 0.5656773625929838, 0.6492378711931659, 0.6442906441595159, 0.37447475517335593, 0.4483215618572084, 0.4639556790956693, 0.4972418509231821]",4,Democrat
7,"[0.45006249940363163, 0.44461304526879336, 0.4649852974440172, 0.46832638039174124, 0.47891069045618545, 0.7069577935645633, 0.5659869549866515, 0.5578519837538265]",3,Republican
8,"[0.5159795013547169, 0.6746587881416557, 0.6971734418542929, 0.4352372436148214, 0.4497626443368248, 0.4512776993104103, 0.4686290072789221, 0.4951679070134378]",3,Democrat
9,"[0.45351795715809184, 0.44856208081138554, 0.47225762733740984, 0.452237961056663, 0.4788250188914372, 0.46133606055996607, 0.7024769447958491, 0.6975580366593029]",2,Republican
10,"[0.4379885813269988, 0.4529912587185515, 0.47858259711346046, 0.4217672943941837, 0.47147083131091844, 0.7159935641358895, 0.7004294346197697, 0.5044247500955564]",3,Republican
11,"[0.5609409642883779, 0.5514931372257124, 0.7011726069946587, 0.43971375617792424, 0.44585378553603294, 0.45005065267749406, 0.48698848666039496, 0.49647470283500167]",3,Democrat
12,"[0.4579996096112432, 0.45542777245931376, 0.432298698383471, 0.4285098402707422, 0.7306051565855275, 0.620350087069647, 0.5516448720048502, 0.5055358995675683]",4,Republican
13,"[0.5143565379053915, 0.5107225973885214, 0.6556800478673142, 0.6605483557155796, 0.5106348303476133, 0.4189717908776712, 0.42158489296814106, 0.47758802811248846]",5,Democrat
14,"[0.6505008350167879, 0.7026067956906932, 0.41321341570233455, 0.5163362988398106, 0.4251377460219474, 0.46025497342587973, 0.46982859092071977, 0.5059377900473595]",4,Democrat
15,"[0.4592617183597036, 0.4458104797281277, 0.45669775479428115, 0.4626573725016004, 0.42514795738827216, 0.4859240234853349, 0.7187119122458143, 0.7031621158073581]",2,Republican
16,"[0.453536255573472, 0.44424119153139335, 0.45722702455312536, 0.4844219634376423, 0.41845476741384163, 0.7044059640910654, 0.6992643755615454, 0.4999124213031049]",2,Republican
17,"[0.46163561730344177, 0.4558193714211554, 0.45334770060139096, 0.42237354028648294, 0.4451794759439777, 0.7269473714745704, 0.7019280735871597, 0.4987365119740044]",2,Republican
18,"[0.44362296312884486, 0.46256456546813096, 0.44129282466127784, 0.4651150180148698, 0.4322095693933602, 0.7103389580844204, 0.6795413462642029, 0.5229977714269032]",3,Republican
19,"[0.5256810175598999, 0.6837775859278045, 0.7404786327309222, 0.38946720440347926, 0.43125350119647826, 0.46587152043819124, 0.47027435139405677, 0.4802806957347973]",3,Democrat
20,"[0.442198244077069, 0.451142176330421, 0.4455217620926403, 0.4685888886038936, 0.6924971399083133, 0.6118741886228954, 0.5399556492773008, 0.4948171884041489]",3,Republican
21,"[0.7101370885517942, 0.649700557344134, 0.5322718477118469, 0.42273963323808617, 0.4429761828931444, 0.4498115123933043, 0.46491219660291133, 0.47538476058437396]",3,Democrat
22,"[0.4489055424831432, 0.44492386358879576, 0.442173569284369, 0.4591043589630349, 0.4227575908990553, 0.7146957457974669, 0.7002865430875902, 0.5258821505148635]",3,Republican
23,"[0.4533906291228467, 0.4423088488992292, 0.46866219221498673, 0.46488499985586945, 0.7110069115056241, 0.39219839378695615, 0.7388133298007007, 0.5073053828788571]",3,Republican
24,"[0.5725447522694743, 0.5213550773603438, 0.5144974458594144, 0.5821424852534929, 0.6085301907300318, 0.4291818230659592, 0.44928707162894116, 0.477500515030722]",5,Democrat
25,"[0.4585204640950051, 0.4543229511242052, 0.44104653507776853, 0.4306270106148415, 0.48500555695646896, 0.7053917114140162, 0.6852750895010251, 0.500698886018044]",3,Republican
26,"[0.45500472824606114, 0.4498895008243589, 0.45238702453892327, 0.37662665157548425, 0.7030202047074308, 0.6943168354930281, 0.5383755148099721, 0.49788784837321487]",3,Republican
27,"[0.6961776544650082, 0.6950780895599766, 0.3927421791474922, 0.4404357731925681, 0.4682919945865163, 0.4770645512643859, 0.49141217699387685, 0.5014582004676871]",3,Democrat
28,"[0.7138684096981586, 0.516733947544444, 0.6762533743060389, 0.3872221053768453, 0.5127714227990341, 0.42874346865443674, 0.4388835484993505, 0.4753665456735723]",4,Democrat
29,"[0.6398051293696865, 0.6865495025638778, 0.42363317774211123, 0.45178232919145456, 0.46935915649493104, 0.49342653852474483, 0.4961145358526937, 0.499973668272902]",2,Democrat
30,"[0.7015256506998544, 0.5565013863382665, 0.6242206097273012, 0.4157239041817432, 0.43228918957481216, 0.4481020795166008, 0.4599631212223765, 0.5017330851546622]",4,Democrat
31,"[0.44610876758695595, 0.4539858556556473, 0.44014764779895943, 0.4616997537703909, 0.6792996713220512, 0.4644414353867393, 0.6867971562073822, 0.5355217167040973]",3,Republican
32,"[0.44766530770239304, 0.45124757140951, 0.46141491469349283, 0.4167986777024768, 0.6956376829015091, 0.6680729540679273, 0.5124461283291621, 0.4939527530718215]",3,Republican
33,"[0.4471677700213802, 0.4393580435613298, 0.45988263243183714, 0.448506239347158, 0.707797287899861, 0.5983488111237988, 0.5392615510782249, 0.49776532279764524]",3,Republican
34,"[0.4512171901775765, 0.44190917669863294, 0.46573838446887855, 0.4079219252573033, 0.6927707114220065, 0.6594917345451906, 0.5606463355550027, 0.5075162650582423]",4,Republican
35,"[0.5697877036085446, 0.5519497998048518, 0.5126257202062064, 0.5495422256460138, 0.6697328020701242, 0.4266031813621598, 0.4338335332407144, 0.46497951021941736]",5,Democrat
36,"[0.6957246079918383, 0.5109629221770178, 0.7266554090468149, 0.3849642169958888, 0.443752741132928, 0.4493405438556703, 0.47230561733638526, 0.49661543176563866]",3,Democrat
37,"[0.5258555746879036, 0.5657559738179664, 0.697002662547288, 0.5358218360307774, 0.43979155938581915, 0.4472250081956305, 0.45572501998401277, 0.4691735653149993]",4,Democrat
38,"[0.43912140140771794, 0.44487379497486856, 0.4435222089822082, 0.4751589410143312, 0.706475432350771, 0.6336312272505025, 0.5018118886992332, 0.49980645937761237]",3,Republican
39,"[0.4586691838791738, 0.4519576379974326, 0.47804722210329054, 0.40852919419907874, 0.7027928705903808, 0.5934794539669246, 0.5475494637650121, 0.49371816978117816]",3,Republican
40,"[0.5585525717523451, 0.6323182655608444, 0.693997187674917, 0.4129085399020903, 0.44347198497292734, 0.4493408828679848, 0.46148564534965797, 0.4928589408974682]",3,Democrat
41,"[0.44911443575261767, 0.4436039782771821, 0.475525567027071, 0.41081830398189406, 0.6922709611228745, 0.6047566233749188, 0.5541671586887522, 0.5292023971128695]",4,Republican
42,"[0.661028303466756, 0.5103650913142823, 0.5715393277741332, 0.62530625474675, 0.4072025019546521, 0.44449801322833854, 0.4616509597917118, 0.46610185311943847]",4,Democrat
43,"[0.4545286147503025, 0.43095049280616293, 0.475043695940279, 0.479124380497202, 0.45573072313944096, 0.6991752232658882, 0.6544822561462014, 0.531669707043292]",3,Republican
44,"[0.6381332930713024, 0.7031860696682085, 0.4384214784752902, 0.4420346061076147, 0.4564578207634399, 0.4777254178777331, 0.49288984876173486, 0.5018391739165786]",3,Democrat
45,"[0.43152712488883244, 0.4482177860716022, 0.46626725194764107, 0.4802299342809612, 0.4788515132505836, 0.47335067041731305, 0.7162728913694382, 0.6283877093043329]",2,Republican
46,"[0.4479594675915441, 0.4512301876144333, 0.42876645185908885, 0.3857675265159312, 0.7579617595835128, 0.7027546871832083, 0.5156229440165188, 0.4976225897727604]",3,Republican
47,"[0.46149803390173944, 0.45469808390103056, 0.45173798905652024, 0.47113102050158584, 0.4112406977335526, 0.727757961077125, 0.705777116996422, 0.4939739424501538]",2,Republican
48,"[0.700741867783148, 0.5357032958670138, 0.6882930037543504, 0.40283391818060676, 0.4127910319927123, 0.45532737205271906, 0.45176381912812946, 0.5019728017701368]",4,Democrat
49,"[0.5150816718396549, 0.6056682784040942, 0.7000717975470516, 0.4236001245717845, 0.4464393346756095, 0.4591699283281655, 0.4771944822741566, 0.5078208756450807]",4,Democrat
50,"[0.4536757105943152, 0.4734355985396785, 0.45497024038475237, 0.4769419131067362, 0.48211035579645767, 0.40319429291334646, 0.7301239402772524, 0.6985474117666132]",2,Republican
51,"[0.7130998035097229, 0.7312615593388514, 0.3972473982663577, 0.4408326331309352, 0.4288860091005642, 0.467755790071948, 0.4915276751811101, 0.5039246727783371]",3,Democrat
52,"[0.4511079316605148, 0.4449710556418652, 0.4697924544155953, 0.475698968469356, 0.40760468711906356, 0.6940902341773207, 0.6713660559746579, 0.5404253403692469]",3,Republican
53,"[0.44688885293641806, 0.45802494313279474, 0.3688382315647102, 0.695091117325002, 0.6834045388356184, 0.5294879147340638, 0.4962872576801159, 0.49190204567841844]",3,Republican
54,"[0.529715422995591, 0.5737504502636088, 0.5816457849961331, 0.5832013072912614, 0.5150450188788847, 0.451223213149419, 0.45344569967427933, 0.46739991258884883]",5,Democrat
55,"[0.5183226948817801, 0.6237686078992963, 0.6876226832831188, 0.4350337196318283, 0.44364231428886125, 0.4550742675597334, 0.4970525044833893, 0.5005985914344339]",4,Democrat
56,"[0.7056472509139957, 0.6995258211454967, 0.42089134328186584, 0.5103841187544972, 0.4520231437085283, 0.4195224525513753, 0.4457670896635811, 0.5073028630179791]",4,Democrat
